Line,Anio,Week,Quantity
Frío,2021,W37,7359
Frío,2021,W38,4174
Frío,2021,W39,1929
Frío,2021,W40,2196
Frío,2021,W41,8145
Frío,2021,W42,6233
Frío,2021,W43,8646
Frío,2021,W44,143
Frío,2021,W45,3925
Frío,2021,W46,10483
Frío,2021,W47,10765
Frío,2021,W48,4890
Frío,2021,W49,3672
Frío,2021,W50,7937
Frío,2021,W51,4881
Frío,2021,W52,3547
,,,
,,,
